_, _, _, _, _, _, _, _, O, _, _, _, _, _, _, _, 
_, _, _, _, _, _, _, O, P, O, _, _, _, _, _, _, 
_, _, _, _, _, _, O, P, P, P, O, _, _, _, _, _, 
_, _, _, _, _, O, O, O, P, O, O, O, _, _, _, _, 
_, _, O, O, O, P, P, O, P, O, P, P, O, O, O, _, 
_, O, P, P, P, O, O, P, P, P, O, O, P, P, P, O, 
_, O, P, P, P, P, O, O, P, O, O, P, P, P, P, O, 
_, O, P, P, P, P, P, P, P, P, P, P, P, P, P, O, 
_, O, P, P, P, O, P, P, P, P, P, O, P, P, P, O, 
_, O, P, P, P, O, O, P, P, P, O, O, P, P, P, O, 
_, O, P, P, P, P, O, P, P, P, O, P, P, P, P, O, 
_, _, O, P, P, P, P, P, P, P, P, P, P, P, O, _, 
_, _, _, O, P, P, P, P, P, P, P, P, P, O, _, _, 
_, _, _, _, O, P, P, O, O, O, P, P, O, _, _, _, 
_, _, _, _, _, O, O, _, _, _, O, O, _, _, _, _, 
_, _, _, _, _, _, _, _, _, _, _, _, _, _, _, _, 

